,Band,Country,Formed,Notes
0,Agalloch,United States,1995,[6]
1,Alestorm,Scotland,2004,[7]
2,Al-Namrood,Saudi Arabia,2008,[8]
3,Amorphis,Finland,1990,[9]
4,Angizia,Austria,1994,[10]
5,Arandu Arakuaa,Brazil,2008,
6,Аркона,Russia,2002,[11]
7,Balkandji,Bulgaria,1999,[12]
8,Balyios,Australia,2013,[13]
9,Barloventos,Argentina,2013,[14]
10,Bathory,Sweden,1983,[15]
11,Battlelore,Finland,1999,[16]
12,Blackguard,Canada,2001,[17][18]
13,Bloodywood,India,2016,[19]
14,Bucovina,Romania,2000,[20]
15,Cadacross,Finland,1997,[21]
16,Cellar Darling,Switzerland,2016,
17,Cemican,Mexico,2008,[22]
18,Chthonic,Taiwan,1995,
19,Cruachan,Ireland,1992,[23][24]
20,Dalriada,Hungary,1998,[25]
21,Eluveitie,Switzerland,2002,[26]
22,Elvenking,Italy,1997,[27][28]
23,Empyrium,Germany,1994,[29]
24,Ensiferum,Finland,1995,[30]
25,Falconer,Sweden,1999,[31]
26,Falkenbach,Germany,1989,[15]
27,Finntroll,Finland,1997,[32]
28,Finsterforst,Germany,2004,
29,Folkearth,International,2003,[33]
30,Folkheim,Chile,2003,[34]
31,Forefather,England,1997,[35][36]
32,Geasa,Ireland,1994,[24]
33,Glittertind,Norway,2001,[37]
34,Gostwind,South Korea,2004,[38]
35,Harmasar,Moldova,2013,[39]
36,Heidevolk,Netherlands,2002,[40]
37,Holy Blood,Ukraine,1999,[41]
38,Huldre,Denmark,2009,
39,In Extremo,Germany,1996,[42]
40,Ithilien,Belgium,2005,[43]
41,Kampfar,Norway,1994,[44]
42,Kanseil,Italy,2010,[45]
43,Kivimetsän Druidi,Finland,2002,[46]
44,Korpiklaani,Finland,1993,[47][48]
45,Leah,Canada,2011,[49]
46,Letzte Instanz,Germany,1996,[50]
47,Lumsk,Norway,1999,[51]
48,Lyriel,Germany,2003,[52]
49,Mael Mórdha,Ireland,1998,[53]
50,Mägo de Oz,Spain,1989,[54]
51,Metsatöll,Estonia,1998,[55]
52,Midnattsol,Germany,2003,[56]
53,Mithotyn,Sweden,1992,[31]
54,Moonsorrow,Finland,1995,[57]
55,Myrath,Tunisia,2001,[58]
56,Nine Treasures,China,2010,[59]
57,Obtest,Lithuania,1992,
58,Onmyo-Za,Japan,1999,
59,Orphaned Land,Israel,1991,
60,Percival Schuttenbach,Poland,1999,
61,Saltatio Mortis,Germany,2000,[60]
62,Saurom,Spain,1996,
63,Schandmaul,Germany,1998,[61]
64,Scythia,Canada,2010,[62]
65,Skálmöld,Iceland,2009,[63]
66,Skyclad,England,1990,[64][65]
67,Skyforger,Latvia,1995,[66]
68,Slough Feg,United States,1990,[67]
69,Storm,Norway,1994,[68]
70,Storm Seeker,Germany,2013,
71,Subway to Sally,Germany,1992,[69]
72,Suidakra,Germany,1994,[70]
73,Summoning,Austria,1993,[71]
74,Svartsot,Denmark,2005,[72]
75,Tanzwut,Germany,1998,[73]
76,Tengger Cavalry,United States,2010,
77,The HU,Mongolia,2016,
78,Thyrfing,Sweden,1995,[74]
79,Trollfest,Norway,2003,
80,Tuatha de Danann,Brazil,1995,[75]
81,Tumulus,Russia,1997,[76]
82,Turisas,Finland,1997,[77]
83,Týr,Faroe Islands,1998,[78]
84,Ulver (early),Norway,1993,
85,Vanir,Denmark,2009,
86,Varang Nord,Latvia,2014,[79]
87,Vardøger,Norway,1994,[80]
88,Viikate,Finland,1996,
89,Vintersorg,Sweden,1994,[81]
90,Waylander,Northern Ireland,1993,[24][82]
91,Windir,Norway,1994,[83]
92,Wind Rose,Italy,2009,
93,Wintersun,Finland,2004,[84]
94,Wolfchant,Germany,2003,
95,Wytch Hazel,England,2011,[85]
96,Ymyrgar,Tunisia,2012,[86]
