,Band,Country,Formed,Notes
0,Agalloch,United States,1995,[6]
1,Alestorm,Scotland,2004,[7]
2,Al-Namrood,Saudi Arabia,2008,[8]
3,Amorphis,Finland,1990,[9]
4,Angizia,Austria,1994,[10]
5,Arandu Arakuaa,Brazil,2008,
6,Аркона,Russia,2002,[11]
7,Balkandji,Bulgaria,1999,[12]
8,Balyios,Australia,2013,[13]
9,Barloventos,Argentina,2013,[14]
10,Bathory,Sweden,1983,[15]
11,Battlelore,Finland,1999,[16]
12,Blackguard,Canada,2001,[17][18]
13,Bloodywood,India,2016,[19]
14,Bucovina,Romania,2000,[20]
15,Cadacross,Finland,1997,[21]
16,Cellar Darling,Switzerland,2016,
17,Cemican,Mexico,2008,[22]
18,Chthonic,Taiwan,1995,
19,Cruachan,Ireland,1992,[23][24]
20,Dalriada,Hungary,1998,[25]
21,Eluveitie,Switzerland,2002,[26]
22,Elvenking,Italy,1997,[27][28]
23,Empyrium,Germany,1994,[29]
24,Ensiferum,Finland,1995,[30]
25,Falconer,Sweden,1999,[31]
26,Falkenbach,Germany,1989,[15]
27,Finntroll,Finland,1997,[32]
28,Folkearth,International,2003,[33]
29,Folkheim,Chile,2003,[34]
30,Forefather,England,1997,[35][36]
31,Geasa,Ireland,1994,[24]
32,Glittertind,Norway,2001,[37]
33,Gostwind,South Korea,2004,[38]
34,Harmasar,Moldova,2013,[39]
35,Heidevolk,Netherlands,2002,[40]
36,Holy Blood,Ukraine,1999,[41]
37,Huldre,Denmark,2009,
38,In Extremo,Germany,1996,[42]
39,Ithilien,Belgium,2005,[43]
40,Kampfar,Norway,1994,[44]
41,Kanseil,Italy,2010,[45]
42,Kivimetsän Druidi,Finland,2002,[46]
43,Korpiklaani,Finland,1993,[47][48]
44,Leah,Canada,2011,[49]
45,Letzte Instanz,Germany,1996,[50]
46,Lumsk,Norway,1999,[51]
47,Lyriel,Germany,2003,[52]
48,Mael Mórdha,Ireland,1998,[53]
49,Mägo de Oz,Spain,1989,[54]
50,Metsatöll,Estonia,1998,[55]
51,Midnattsol,Germany,2003,[56]
52,Mithotyn,Sweden,1992,[31]
53,Moonsorrow,Finland,1995,[57]
54,Myrath,Tunisia,2001,[58]
55,Nine Treasures,China,2010,[59]
56,Obtest,Lithuania,1992,
57,Onmyo-Za,Japan,1999,
58,Orphaned Land,Israel,1991,
59,Percival Schuttenbach,Poland,1999,
60,Saltatio Mortis,Germany,2000,[60]
61,Saurom,Spain,1996,
62,Schandmaul,Germany,1998,[61]
63,Scythia,Canada,2010,[62]
64,Skálmöld,Iceland,2009,[63]
65,Skyclad,England,1990,[64][65]
66,Skyforger,Latvia,1995,[66]
67,Slough Feg,United States,1990,[67]
68,Storm,Norway,1994,[68]
69,Subway to Sally,Germany,1992,[69]
70,Suidakra,Germany,1994,[70]
71,Summoning,Austria,1993,[71]
72,Svartsot,Denmark,2005,[72]
73,Tanzwut,Germany,1998,[73]
74,Tengger Cavalry,United States,2010,
75,The HU,Mongolia,2016,
76,Thyrfing,Sweden,1995,[74]
77,Trollfest,Norway,2003,
78,Tuatha de Danann,Brazil,1995,[75]
79,Tumulus,Russia,1997,[76]
80,Turisas,Finland,1997,[77]
81,Týr,Faroe Islands,1998,[78]
82,Ulver (early),Norway,1993,
83,Vanir,Denmark,2009,
84,Varang Nord,Latvia,2014,[79]
85,Vardøger,Norway,1994,[80]
86,Viikate,Finland,1996,
87,Vintersorg,Sweden,1994,[81]
88,Waylander,Northern Ireland,1993,[24][82]
89,Windir,Norway,1994,[83]
90,Wind Rose,Italy,2009,
91,Wintersun,Finland,2004,[84]
92,Wolfchant,Germany,2003,
93,Wytch Hazel,England,2011,[85]
94,Ymyrgar,Tunisia,2012,[86]
